ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;9;984;2;G;1;1;1;6916235;178;7088607;178;7076123;183;7247261;183
2022;9;984;2;G;1;2;1;85685122;4866;89119626;4866;84657935;4980;88221052;4980
2022;9;984;2;G;1;3;1;;;;;;;;
2022;9;984;2;G;1;4;1;;;;;;;;
2022;9;984;2;G;1;5;1;;;;;;;;
2022;9;984;2;G;1;6;1;;;;;;;;
2022;9;984;2;G;1;7;1;;;;;;;;
2022;9;984;2;G;1;8;1;;;;;;;;
2022;9;984;2;G;1;9;1;;;;;;;;
2022;9;984;2;G;2;1;1;73586418;559;73930763;559;74551196;570;74850803;570
2022;9;984;2;G;2;2;1;241523399;10782;249118841;10782;215868002;10782;225367633;10782
2022;9;984;2;G;2;3;1;;;;;;;;
2022;9;984;2;G;2;4;1;;;;;;;;
2022;9;984;2;G;2;5;1;;;;;;;;
2022;9;984;2;G;2;6;1;;;;;;;;
2022;9;984;2;G;2;7;1;;;;;;;;
2022;9;984;2;G;2;8;1;;;;;;;;
2022;9;984;2;G;2;9;1;;;;;;;;
2022;9;952;3;B;1;1;1;478451725;9692;489752330;9692;527405063;9864;539124068;9864
2022;9;952;3;B;1;2;1;1860648437;74506;1943495924;74506;2065100793;77026;2152318811;77026
2022;9;952;3;B;1;3;1;36169570;2709;38486789;2709;37481675;2709;40070715;2709
2022;9;952;3;B;1;4;1;17564614;885;18762538;885;18037874;885;19183533;885
2022;9;952;3;B;1;5;1;;;;;;;;
2022;9;952;3;B;1;6;1;;;;;;;;
2022;9;952;3;B;1;7;1;391440076;35398;417218587;35398;398043013;35759;429142787;35759
2022;9;952;3;B;1;8;1;721038060;74949;767328288;74949;732766767;74588;787331215;74588
2022;9;952;3;B;1;9;1;;;;;;;;
2022;9;952;3;B;2;1;1;1313714544;22737;1337441070;22737;1393318272;22737;1416981585;22737
2022;9;952;3;B;2;2;1;3277126591;112238;3382742166;112238;3416324378;113132;3524354957;113132
2022;9;952;3;B;2;3;1;390351553;23478;408176052;23478;368093360;21853;385797457;21853
2022;9;952;3;B;2;4;1;;;;;;;;
2022;9;952;3;B;2;5;1;;;;;;;;
2022;9;952;3;B;2;6;1;;;;;;;;
2022;9;952;3;B;2;7;1;1998394027;136534;2103468010;136534;2031455815;136353;2146509454;136353
2022;9;952;3;B;2;8;1;3241554637;215998;3393003346;215998;3320604541;216901;3486229258;216901
2022;9;952;3;B;2;9;1;2861753;181;3029279;181;2940392;181;3143828;181
2022;9;995;3;M;1;1;3;11974706;581;14019396;581;11127852;581;13161085;581
2022;9;995;3;M;1;2;3;217219635;30509;252206487;30689;215999024;31945;252367711;32089
2022;9;995;3;M;1;3;3;26902511;4831;31869617;4921;30910661;5791;36356406;5837
2022;9;995;3;M;1;4;3;61023672;11763;70037188;11835;61583253;11877;71567163;12016
2022;9;995;3;M;1;5;3;;;;;;;;
2022;9;995;3;M;1;6;3;;;;;;;;
2022;9;995;3;M;1;7;3;37700951;8350;42950145;8350;40888054;9181;46471596;9181
2022;9;995;3;M;1;8;3;2216275;426;2603758;426;2042930;458;2396330;458
2022;9;995;3;M;1;9;3;1889170;393;1988775;393;1566184;387;1612422;387
2022;9;995;3;M;2;1;3;46508493;2516;56280355;2516;51445503;2709;61872041;2709
2022;9;995;3;M;2;2;3;632012680;77323;756035835;78471;653030712;79544;783222426;80705
2022;9;995;3;M;2;3;3;65384136;11468;80224480;12129;67458077;12529;82753002;13084
2022;9;995;3;M;2;4;3;42334011;7269;50324019;7498;38729106;7338;46470175;7597
2022;9;995;3;M;2;5;3;;;;;;;;
2022;9;995;3;M;2;6;3;;;;;;;;
2022;9;995;3;M;2;7;3;320676710;63209;378934502;63626;344798113;67758;410493688;68415
2022;9;995;3;M;2;8;3;92438868;15063;111195287;15113;91700226;13935;110252948;14000
2022;9;995;3;M;2;9;3;;;;;;;;
2022;9;997;1;G;1;1;3;;;;;;;;
2022;9;997;1;G;1;2;3;;;;;;;;
2022;9;997;1;G;1;3;3;;;;;;;;
2022;9;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;9;997;1;G;1;5;3;;;;;;;;
2022;9;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2022;9;997;1;G;1;7;3;;;;;;;;
2022;9;997;1;G;1;8;3;;;;;;;;
2022;9;997;1;G;1;9;3;;;;;;;;
2022;9;997;1;G;2;1;3;;;;;;;;
2022;9;997;1;G;2;2;3;;;;;;;;
2022;9;997;1;G;2;3;3;;;;;;;;
2022;9;997;1;G;2;4;3;1120657;388;1302109;388;1120657;388;1302109;388
2022;9;997;1;G;2;5;3;;;;;;;;
2022;9;997;1;G;2;6;3;;;;;;;;
2022;9;997;1;G;2;7;3;;;;;;;;
2022;9;997;1;G;2;8;3;;;;;;;;
2022;9;997;1;G;2;9;3;;;;;;;;
2022;9;1762;3;P;1;1;1;137385282;6729;141628707;6729;143327320;6622;147477748;6622
2022;9;1762;3;P;1;2;1;1481556155;123302;1542827124;123676;1504798033;124198;1562121653;124198
2022;9;1762;3;P;1;3;1;72100653;17910;76321744;17915;71023017;17910;75396929;17910
2022;9;1762;3;P;1;4;1;255694680;61143;273955090;61290;258124125;61710;276394812;61710
2022;9;1762;3;P;1;5;1;;;;;;;;
2022;9;1762;3;P;1;6;1;;;;;;;;
2022;9;1762;3;P;1;7;1;;;;;;;;
2022;9;1762;3;P;1;8;1;;;;;;;;
2022;9;1762;3;P;1;9;1;93759440;31516;100574540;31875;108624020;36951;115713904;37079
2022;9;1762;3;P;2;1;1;170161208;7379;178190709;7379;159639053;7000;165833994;7000
2022;9;1762;3;P;2;2;1;2214994305;145034;2306846051;145305;2268473386;147060;2337465126;147060
